,Name,Accessible_Len,N_Accessible_Len,Total_Len
0,UpperMysticLake,1.27707004547119,0.0,1.27707004547119
1,BoatCoveCreek,2.25294995307922,0.0,2.25294995307922
2,ScortonCreek,2.10815000534058,0.0,2.10815000534058
3,ConcordRiver,4.7738868892192885,11.1224002838135,15.896287173032789
4,ShawsheenRiver,8.67044973373413,16.353099822998,25.02354955673213
5,CharlesRiver,19.82303588092325,27.92827963829038,47.751315519213634
6,MuddyRiver,3.86119997501373,0.0,3.86119997501373
7,HerringRiver,11.086557209491717,0.0,11.086557209491717
8,BackRiver,2.56577697396278,0.25703901052475,2.82281598448753
9,MerrimackRiver,54.63976216316232,0.0,54.63976216316232
10,PowwowRiver,1.66076004505157,2.146231055259708,3.8069911003112784
11,MysticRiver,4.96848011016846,0.0,4.96848011016846
12,ForeRiverMonatiquot,8.133200168609623,0.0,8.133200168609623
13,StonyBrook,4.240655474364756,0.0,4.240655474364756
14,LittlePond,0.158158004283905,0.0,0.158158004283905
15,AlewifeBrook,4.15578997135162,0.0,4.15578997135162
16,LittleRiver,3.084036022424703,0.0,3.084036022424703
17,BoundBrook,4.53833985328674,0.0,4.53833985328674
18,StraitsPond,1.03991997241974,0.0,1.03991997241974
19,ParkerRiver,18.4192952029407,0.0,18.4192952029407
20,BassRiver,2.2109889984130873,0.5126200020313261,2.723609000444413
21,QuivettCreek,2.51645994186401,0.0,2.51645994186401
22,SesuitCreek,2.178885936737061,0.0,2.178885936737061
23,BluefishRiver,1.16324996948242,0.0,1.16324996948242
24,IslandCreek,1.2182799577713,0.0,1.2182799577713
25,HerringBrook,1.2802699804306,0.0,1.2802699804306
26,RockHarborCreek,1.52211999893188,0.0,1.52211999893188
27,ChebaccoLake,0.386366993188858,0.0,0.386366993188858
28,EssexRiver,5.99338006973267,0.0,5.99338006973267
29,IndianHeadRiver,4.91234004497528,0.0,4.91234004497528
30,SouthRiver,10.4628199338913,0.0,10.4628199338913
31,SpicketRiver,0.151003003120422,4.71299982070923,4.864002823829653
32,MillRiver,5.684336066246029,7.89193987846375,13.576275944709778
33,AccordBrook,5.70435609668493,0.0,5.70435609668493
34,BroadCove,0.558677017688751,0.0,0.558677017688751
35,WeirRiver,5.561538040637977,0.0,5.561538040637977
36,FreshRiver,0.549533009529114,0.0,0.549533009529114
37,FullingMillBrook,1.08020997047424,0.0,1.08020997047424
38,TurkeyHillRun,0.433171004056931,0.0,0.433171004056931
39,EgyptRiver,1.9721200466156,0.0,1.9721200466156
40,RowleyRiver,3.9262900352478,0.0,3.9262900352478
41,IpswichRiver,26.20316076278688,8.92450976371765,35.12767052650453
42,FurnaceBrook,3.72173696756363,0.0,3.72173696756363
43,HallsBrook,0.319692999124527,1.0220400094986,1.341733008623127
44,JonesRiver,7.5984401702880895,0.0,7.5984401702880895
45,SecondBrook,0.114183001220226,0.0,0.114183001220226
46,SmeltBrook,1.1520674582570791,0.78235399723053,1.9344214554876091
47,BennettBrook,0.489069014787674,0.0,0.489069014787674
48,ChubbCreek,0.450468003749847,0.0,0.450468003749847
49,SawmillBrook,1.848786056041722,0.0,1.848786056041722
50,SecondHerringBrook,0.288538992404938,1.27943003177643,1.567969024181368
51,ThirdHerringBrook,4.012172102928161,1.31728005409241,5.329452157020571
52,HerringBrook,5.287794353440408,0.0,5.287794353440408
53,ForestRiver,3.10714995861054,0.0,3.10714995861054
54,NorthRiver,13.972137063741634,0.0,13.972137063741634
55,SaugusRiver,10.87667012214661,3.13909006118774,14.01576018333435
56,FirstHerringBrook,3.845512378960852,0.0,3.845512378960852
57,TackFactoryPond,0.860123991966248,0.0,0.860123991966248
58,SatuitBrook,0.31165799498558,0.0,0.31165799498558
59,FurnacePond,1.8476300239563,0.0,1.8476300239563
60,BillingtonSea,1.2748099565506,0.0,1.2748099565506
61,TownBrook,2.809457018971444,0.0,2.809457018971444
62,EelRiver,3.710407972335818,0.0,3.710407972335818
63,LittleHerringPond,1.03227996826172,0.0,1.03227996826172
64,ShingleBrook,0.251188993453979,0.0,0.251188993453979
65,OxPastureBrook,0.557527005672455,0.0,0.557527005672455
66,WhitmansPond,1.6792230159044261,0.0,1.6792230159044261
67,AberjonaRiver,4.978879064321519,0.0,4.978879064321519
68,ChaseGardenCreek,1.70976996421814,0.0,1.70976996421814
69,WhitesBrook,1.88143002986908,0.0,1.88143002986908
70,IndianBrook,0.5316641889512544,0.0,0.5316641889512544
71,BeaverDamBrook,3.42683005332946,0.0,3.42683005332946
72,WellengsleyBrook,0.441363006830215,0.0,0.441363006830215
73,PametRiver,2.01845002174377,0.0,2.01845002174377
74,WeymouthBackRiver,4.456633836030964,0.0,4.456633836030964
75,TideMillBrook,1.64108002185822,0.0,1.64108002185822
76,MillBrook,1.5491519719362281,0.709288001060486,2.258439972996714
77,WestBrook,1.01709997653961,0.0,1.01709997653961
78,IndianHeadBrook,2.1002299785614,0.0,2.1002299785614
79,RockyRun,0.333020001649857,0.0,0.333020001649857
80,Unnamed,0.8817270249128341,4.981189042329793,5.862916067242627
81,GreatPond,0.0,1.223488003015518,1.223488003015518
82,FarmRiver,0.0,3.18009996414185,3.18009996414185
83,MonatiquotRiver,0.0,0.958167016506195,0.958167016506195
84,RobinsonCreek,0.654447019100189,0.0,0.654447019100189
85,PuddingBrook,1.015771009027958,2.1937301158905,3.2095011249184577
86,LilyPond,0.388814985752106,0.0,0.388814985752106
87,AaronRiver,1.73576998710632,0.0,1.73576998710632
88,CrookedMeadowRiver,0.992793023586273,0.0,0.992793023586273
